團體名稱,團體類型,成立日期,理事長,社團狀態,會址電話,核准立案字號,會址
耕善學佛會,社會團體,105/05/17,江富田,已立案,0927576198,,640雲林縣斗六市仁義路27-5號
中華寵愛健康發展促進會,社會團體,105/11/26,陳淑瑛,已立案,,,100臺北市中正區八德路一段46號9樓
中華基督教基層宣教訓練促進會,社會團體,091/04/08,林慶宜,已立案,03-3252761,0910014928,330桃園市桃園區大有路487號11樓之1
台灣省李氏宗親總會,社會團體,083/12/21,李朝宗,已立案,02-22859727,,247新北市蘆洲區民族路133巷1號12樓
中華民國名牌精品鑑價協會,社會團體,101/01/01,李正邦,已立案,07-383-2374,1010090833,330桃園市桃園區330中正路1351號12樓
中華民國人壽保險管理學會,社會團體,075/12/12,林慶祥,已立案,02-2375-1594,,110臺北市信義區信義路五段150巷2號2樓(會址異動於106年6月21日函報內政部備查)
崴天廚道教育學會,社會團體,106/01/20,陳志豪,已立案,0423937382-13,,401臺中市東區建勇街24-1號
台灣食藥用菇菌類生技協會,社會團體,093/03/06,葉宗銘,已立案,04-2359-5313j轉39,0930012460,111臺北市士林區文林路165號1樓
中華民國跆拳道武藝協會,社會團體,096/02/15,李國書,已立案,02-22966917,0960043844,243新北市泰山區明志路2段311號2樓
中華生命電磁科學學會,社會團體,082/07/18,陳右明,已立案,02-2873-2125,8217500,112臺北市北投區石牌路二段三四三巷六之一號
亞太高爾夫交流協會,社會團體,105/10/27,張慶輝,已立案,07-5661109,,802高雄市苓雅區自強三路1號37樓
台灣中醫醫學會,社會團體,094/01/02,胡文龍,已立案,07-7317123轉2329,0940060381,833高雄市鳥松區大埤路123號（會址異動經本部106年1月4日同意備查）
台灣區電氣工業同業公會,職業團體,037/10/01,朱文成,已立案,02-23667328,594142,100臺北市中正區羅斯福路三段242號11樓
台灣食育協會,社會團體,105/10/01,黃兆徽,已立案,0922073391,,100臺北市中正區中華路2段303巷14號
中華民國關節鏡及膝關節醫學會,社會團體,079/08/17,詹益聖,已立案,04-22052121#5052,0950184594,333桃園市龜山區復興街5號-林口長庚醫院骨科部
台灣重新思考環境教育協會,社會團體,105/11/20,黃之揚,已立案,07-7163132；0921-773706,1050089249,802高雄市苓雅區和平一路145巷18號2樓
中華天使心身障才藝展演協會,社會團體,106/01/15,任文倩,已立案,02-2363-6159,,106臺北市大安區溫州街74巷3弄8號
中國真佛宗密教總會,社會團體,080/01/13,林益春,已立案,049-2350-811,,542南投縣草屯鎮山腳里蓮生巷100號
中華青少年活動教育協會,社會團體,094/08/04,張少熙,已立案,05-6333401,0940073380,651雲林縣北港鎮義民路192巷8號(該會於105.08.15函報內政部異動備查)
台灣國際旅遊交換住宿和平促進協會,社會團體,102/04/27,王雪美,已立案,0917106505,1020252311,108臺北市萬華區德昌街185巷41號
中華民國溫馨關懷會,社會團體,085/06/29,蔡秉璇,已立案,02-2918-8889,8522105,231新北市新店區231曲尺里自強路234號
台灣網路暨電子商務產業發展協會,社會團體,101/10/24,林之晨,已立案,02-27667800,1010363705,110臺北市信義區基隆路1段178號2樓(於105.06.21函報內政部異動備
中華民國休閒體能統合發展協會,社會團體,097/11/16,葉煥魁,已立案,0952538358,0970218427,111臺北市士林區士東路274號
台灣中部工業區廠商桌球運動協會,社會團體,105/10/23,楊正,已立案,0920-845981,,406臺中市北屯區綏遠路2段14巷11號
台灣野生動植物暨環境保護協會,社會團體,105/11/05,林榮峰,已立案,04-7611137、0985-495588,1050080771,500彰化縣彰化市水源路609號
中華海峽兩岸炎帝神農文化交流協會,社會團體,105/08/05,葉宏燈,已立案,,,104臺北市中山區復興北路2號7樓之10
台灣太平洋發展協會,社會團體,098/09/24,紀國鐘,已立案,02-25159274,0980190922,100臺北市中正區忠孝東路1段112號8樓
中華創意發展協會,社會團體,087/04/18,林騰蛟,已立案,02-2738-0018,8717942,106臺北市大安區和平東路1段129-1號科技大樓5樓工506室(本部105年11月7日收文)
台灣武道文化交流協會,社會團體,101/01/08,林雪絨,已立案,037-591410,1010181047,411臺中市太平區大源路34號
中華旅遊醫療協會,社會團體,097/05/31,陳堂立,已立案,07-282-2946,0970133830,801高雄市前金區中正4路211號15樓之1
中華民國國立臺北科技大學經營管理系所友會,社會團體,100/06/25,林玉惠,已立案,02-77192255,1000139913,臺北市基隆路2段201號4號之1
崇連社會慈善事業協會,社會團體,105/07/30,蔡孟勳,已立案,02-77062696轉21,,252新北市三芝區淺水灣街5之2號2樓
中華自由貿易商業聯合會,社會團體,105/10/15,陳兆伸,已立案,02-27181808,,105臺北市松山區敦化北路102號7樓
中華民國長拳螳螂門協會,社會團體,090/10/28,張景暘,已立案,02-2309-7798,0910023553,108臺北市萬華區青年路68巷30號地下室
臺灣社區協力農業協會,社會團體,105/12/05,陳建泰,已立案,0919255487,,300新竹市北區光華南街76號1樓
中華民國關懷生命協會,社會團體,082/01/16,張章得,已立案,02-87800838,8278535,104臺北市中山區民生東路2段120號3樓
台灣華語文教學學會,社會團體,091/12/14,許長謨,已立案,02-23579884,0920008775,106臺北市大安區和平東路一段162號師大國語中心轉
國際愛地芽協會台灣分會,社會團體,096/05/20,徐周富子,已立案,049-2207472,0960158982,540南投縣南投市軍功里軍功路26巷45號
台灣公安學會,社會團體,105/07/14,劉進明,已立案,,,100臺北市中正區羅斯福路3段100號6樓之7
願景青年行動網協會,社會團體,092/08/10,廖弘毅,已立案,02-2369-2105,0920036225,100臺北市中正區師大路163號2樓
中華發光使命協會,社會團體,100/04/24,岑慶才,已立案,02-66090717,1000123017,104臺北市中山區長春路172號4樓之8
中華民國祜童慈心會,社會團體,106/02/11,劉姍姍,已立案,04-7638777,1060020775,350苗栗縣竹南鎮功明街5-106號
臺灣百合教育協會,社會團體,106/03/04,林琦玉,已立案,06-2673387,,700臺南市中西區開山路3巷1號
中華印度瑜伽推廣協會,社會團體,106/05/25,康烈旭,已立案,02-25099870,,104臺北市中山區松江路63巷7-1號5樓
中華樂音樹環境教育協會,社會團體,102/10/26,錢佳佑,已立案,02-2457-3792,1020358597,208新北市金山區南勢80號
中華民國大乘禪功學會,社會團體,078/12/17,陳芳澤,已立案,02-23888161,783700,100臺北市中正區100漢口街1段85號3樓
中國社會工作協會,社會團體,032/07/01,應正琪,已立案,02-2708-8393,733269,106臺北市大安區信義路3段162號9樓38室
燈芯草慈善會,社會團體,098/12/27,黃國欽,已立案,02-22497320,0990056157,235新北市中和區景平路999巷17號1樓
台灣僑商聯合會,社會團體,102/01/22,王鐙緯,已立案,02-27120346,1020096435,105臺北市松山區105南京東路3段261號6樓C室
台灣生物多樣性保育學會,社會團體,091/12/01,陳子英,已立案,02-23645677;03-9327580,0910062890,260宜蘭縣宜蘭市神農路1段1號國立宜蘭大學森林暨自然資源學系(該會105.4.28函報內政部異動)
台灣物業設施管理協會,社會團體,103/01/16,黃南淵,已立案,02-2393-3766,1030084482,100臺北市忠孝東路1段55號4樓
中華民國廣亮慈善會,社會團體,079/01/08,曾弘毅,已立案,04-24852256,1000242841,412臺中市大里區勝利二路140號
台灣廚師聯盟,社會團體,098/03/17,謝秀櫻,已立案,02-27556939*333,0980093158,臺北市復興南路2段148巷24號
中華民國拳擊發展協會,社會團體,105/06/26,郭枝來,已立案,02-27880707;0972-020-785,1060011543,115臺北市南港區南港路3段149巷49弄1號１樓
中華海峽兩岸身障文創藝術協會,社會團體,101/12/03,陳土金,已立案,02-26625243,1020088211,222新北市深坑區222北深路2段87號
中華民國合作金庫商業銀行退休人員協會,社會團體,097/04/11,蕭長青,已立案,02-23118811#759,0970075442,106臺北市大安區瑞安街23巷8之1號2樓
中華科技史學會,社會團體,097/05/24,邱韻如,已立案,02-29116888,0970105846,231新北市新店區文化路71巷15號
台灣省汽車貨運商業同業公會聯合會,職業團體,048/08/17,黃益民,已立案,02-27556498,,106臺北市大安區信義路三段162之30號7樓
中華國學武藝協會,社會團體,105/10/16,韓基祥,已立案,02-29670262;0930-372-872,1050076058,220新北市板橋區公館街19號
中華民國殘障體育運動總會,社會團體,073/02/26,黃平君(會長),已立案,02-87711502,8730176,104臺北市中山區朱崙街20號1樓
中華民國證券商業同業公會,職業團體,087/04/04,簡鴻文,已立案,(02)27374721,,106臺北市大安區復興南路2段268號6樓
台灣農業投資顧問管理發展協會,社會團體,098/02/20,曾乃誠,已立案,02-2925-4029,0980070925,234新北市永和區國中路33號5樓
台灣普陀洛迦文教協會,社會團體,099/10/30,羅振興,已立案,02-28333322,0990241637,111臺北市士林區中山北路五段777巷2-2號1樓
中華民國不動產估價師公會全國聯合會,職業團體,094/03/12,張子亮,已立案,02-25592801,0940003908,103臺北市大同區長安西路82號6樓
台灣農業生技創新發展協會,社會團體,104/04/11,顏文彬,已立案,04-22970366,1040029091,404臺中市北區文心路4段208之1號6樓之1
台灣六藝協會,社會團體,100/03/27,楊宗文,已立案,04-27071668,1000099287,407臺中市西屯區逢甲路253巷33號
中華瑪倉派聞法會,社會團體,099/01/30,張素錦,已立案,02-22081985,0990075955,242新北市新莊區新樹路207-4號4樓
台灣玉山解說教育學會,社會團體,095/02/03,盧榮輝,已立案,02-27636679,0950085721,103臺北市大同區103太原路17號6樓之1(該會於105.1.19函報內政部異動備查)
中華創意產業人才發展協會,社會團體,103/01/05,劉素真,已立案,03-3771633,1030076921,115臺北市南港區忠孝東路6段32巷1號
臺灣金融投資協會,社會團體,105/04/02,葉耀中,已立案,,1050035481,407臺中市西屯區市政北二路236號9樓之5
台灣張華日宗親會,社會團體,098/09/26,張炎輝,已立案,02-28262818,0980192787,112臺北市北投區振興街31號
中華會展人才發展協會,社會團體,100/06/07,郁真,已立案,02-82752594、0914029293,1000129935,220新北市板橋區大觀路2段37巷81號4樓
台灣區合板製造輸出業同業公會,職業團體,051/11/27,劉光榮,已立案,07-3927356,258,807高雄市三民區九如一路805號9樓
中國佛教在家修促進會,社會團體,080/04/14,劉克偉,已立案,07-3427925,920807,807高雄市三民區鼎泰街161號
醒吾科技大學校友會全國總會,社會團體,094/06/18,陳明義,已立案,02-26015310#1328,0940066083,244新北市林口區粉寮路一段101號
中華民國國家統一建設促進會,社會團體,080/12/16,阿不都拉,已立案,02-2397-2291,8105295,臺北市杭州南路一段115號7樓之3
中華中等教育學會,社會團體,089/09/17,林昭賢,已立案,02-23754080,8977390,104臺北市中山區104合江街102巷28號6樓(該會於104.12.2函報內政部異動備查)
中華民國東歐經貿協會,社會團體,082/10/02,崔中,解散,02-2757-6965轉25,台(82)內社字第8224916號,臺北市中山北路二段四十五巷二十一號五樓
中華國際潛能圍棋教育學會,社會團體,094/08/06,楊源峰,解散,03-3831021,0940031117,337桃園市大園區337果林村11鄰23之26號
中華世界瑜珈運動發展協會,社會團體,100/11/10,楊麗娟,已立案,02-87873259,1010064274,106臺北市大安區忠孝東路4段155號8樓之2
中馬文化經濟協會,社會團體,052/10/14,董世芬,解散,02-2375-4456,,臺北市重慶南路一段七號九樓九０四室
台灣義大利文化協會,社會團體,098/05/28,周文賓,已立案,02-23315347,0980076538,臺北市重慶南路一段99號11樓1110室
中國詩人文化會,社會團體,054/08/08,胡順隆,已立案,04-22293366,0920006133,402臺中市南區402復興路三段371-1號
中國澹寧書法學會,社會團體,081/12/06,楊靜江,已立案,02-23693225,9022011,106臺北市大安區羅斯福路三段153-5號4樓
中國信託退休人員總會,社會團體,104/03/14,陳鴻書,已立案,02-29203480,1040031749,235新北市中和區建八路193號3樓
中國統一促進會,社會團體,101/01/28,余聖翔,已立案,02-23888611,1010101299,臺北市成都路1號8樓
中華新娘秘書經營管理協會,社會團體,099/11/12,吳佩珍,已立案,04-22279797,1000065646,402臺中市南區402建成路1095巷3號7樓之1
中華教育訓練協會,社會團體,104/11/15,陳憲政,已立案,0973-610232,1050005767,542南投縣草屯鎮虎山路484號1樓
中華寰宇超心靈學會,社會團體,094/09/17,王秀真,已立案,049-2736657,0960043939,551南投縣名間鄉出林虎路一段581巷2號
台灣全球台商協會,社會團體,095/06/18,林華德,解散,02-2755-6205,0950119095,106臺北市大安區10681信義路4段210號6樓
台灣傳統導引養生功法協會,社會團體,097/03/08,莊賜祿,已立案,0929390590,0980037334,407臺中市西屯區忠勤街336號3樓之2
中華性德修緣協會,社會團體,103/03/16,楊坤源,已立案,0970-261-648,1030144930,434臺中市龍井區龍社路27巷32號
中華健體技術教育推廣學會,社會團體,104/10/18,蔡忠憲,已立案,02-23432200,1040079780,100臺北市中正區寧波西街3號4樓
台灣著作權使用者保護協會,社會團體,094/08/04,張呈祥,已立案,02-25500141,0940032595,103臺北市大同區涼州路6號2樓之3
中華民國蘭藝協會,社會團體,066/10/23,張建邦,解散,02-2321-4030,,臺北市麗水街十八號一一二室
中華清太聖門功德會,社會團體,100/09/04,鄭舜延,已立案,06-3660672,1000212288,717臺南市仁德區中洲里29號
中華民國生暉愛心慈善會,社會團體,081/03/29,蘇文村,已立案,04-758-5298,8107207,507彰化縣線西鄉和線路957巷3號中山堂二樓
台灣公益社會實踐協會,社會團體,102/11/25,熊同鑫,已立案,089-345985,1020367265,950臺東縣臺東市新站路18號
中華民國民意代表功能策進會,社會團體,082/06/05,吳昌樑,解散,02-2389-2127,,臺北市興安路八０巷四號一樓
中華天真聖德道協會,社會團體,090/10/28,周竹雄,已立案,02-2307-5547,9035147,100臺北市中正區詔安街62號
中華展覽貿易促進協會,社會團體,087/05/17,林欽盛,已立案,02-2769-1629,8782618,臺北市敦化北路199巷2弄11號Ｂ１
台灣區高壓氣體工業同業公會,職業團體,060/10/29,苗豐盛,已立案,(02)27717333,,105臺北市敦化南路1段102號3樓之3
中華民國美術教育學會,社會團體,061/07/15,凌嵩郎,解散,02-2303-1805,,臺北市詔安街二六○巷一號
中華勞動人才發展協會,社會團體,103/07/19,黃大宗,已立案,02-29419550,1030300951,231新北市新店區永平街27號6樓
台灣醫界菸害防制聯盟,社會團體,095/10/12,顏啟華,已立案,04-24739595#34958,0960019342,402臺中市南區建國北路一段110號醫學研究所
中華民國英語教學研發協會,社會團體,088/03/21,林鴻鵬,解散,02-2740-6215,8815953,106臺北市大安區延吉街一五七之一號三樓
台灣子宮內膜異位症學會,社會團體,104/09/06,曾啓瑞,已立案,02-27372181#8545,1040087481,"110臺北市信義區吳興街252號5樓 生殖醫學中心"
台灣華人動員宣教協會,社會團體,104/11/07,曾政忠,已立案,0933-087-401,1040085224,306新竹縣關西鎮中正路5-1號
台灣創意積木發展協會,社會團體,101/08/12,呂柏錡,已立案,02-25560048,1010304468,108臺北市萬華區和平西路3段70-3號1樓
台灣手工皂推廣協會,社會團體,099/05/30,石彥豪,已立案,02-2768-1566,0990194780,114臺北市內湖區內湖路2段263巷9弄7號4樓
中華海峽兩岸創業暨就業交流協會,社會團體,102/01/05,林滿榮,已立案,02-87516633,1020082187,114臺北市內湖區基湖路35巷11號9樓
台灣足體養身協會,社會團體,094/11/11,江慶鐘,已立案,02-2762-2966,0940043771,105臺北市松山區南京東路五段66號7樓
中華民國孫文學會,社會團體,043/07/25,匡思聖,已立案,02-2362-6477,0990235695,臺北市興隆路4段1巷79號2樓
中國乾坤國寶堪輿設計學會,社會團體,084/03/12,何金宗,解散,02-2555-4426,8474720,臺北市南京西路一０三號七樓
台灣國際醫療行動協會,社會團體,090/12/08,陳厚全,已立案,02-25366567,9039237,302新竹縣竹北市福竹街112號4樓
中華民國視網膜病變協會,社會團體,093/10/30,林耿弘,已立案,04-23599958、04-24619040,0930044367,407臺中市西屯區臺灣大道四段1650號(臺中榮民總醫院眼科部6樓)
中華民國品茗協會,社會團體,082/01/17,陳正輝,已立案,04-2327-7874,8203007,403臺中市西區忠明南路三二五號九樓之一三
台灣周易堪輿研究會,社會團體,090/02/17,蕭木通,已立案,02-2274-4477,9064809,236新北市土城區中華路2段111號4樓
中華民國職業潛水協會,社會團體,091/07/17,潘秀明,解散,02-2858-3500,0910024741,112臺北市北投區知行路286號2樓
中華歷史動畫策進會,社會團體,082/10/23,曾憲棨,解散,02-2934-8554,8226163,臺北市景興路一五三巷十四弄十八號五樓
中華民國智慧榮耀再造協會,社會團體,102/03/09,許士軍,已立案,03-4630629,1020143288,106臺北市大安區仁愛路4段345巷4弄29號4樓
中華民國帆船協會,社會團體,064/12/29,林鴻道,已立案,02-8771-1442,670085,104臺北市中山區朱崙街20號903室
中華太乙慈元慈善協會,社會團體,101/06/02,羅時樹,已立案,04-24066060,1010264077,412臺中市大里區永大街181號
台灣同心緣乳癌關懷協會,社會團體,102/12/21,曾令民,已立案,02-66118891,1030134677,112臺北市北投區石牌路2段201號中正樓10樓611室(完成法人登記)
中華心靈成長協會,社會團體,095/05/27,陳亭安,已立案,02-8285-5676,0950101316,247新北市蘆洲區長安街194巷13號9樓之3
台灣原住民族休閒農業人文觀光協會,社會團體,103/11/22,溫海龍,已立案,03-8654893,1040012163,974花蓮縣壽豐鄉974光榮村光榮三街45-1號
台灣藝術史研究學會,社會團體,105/03/25,廖新田,已立案,,,700臺南市中西區環河街82號
中華民國中央警察大學校友總會,社會團體,087/05/23,何煖軒,已立案,02-2381-4661,,臺北市廣州街4巷1號
中華約瑟使命協會,社會團體,099/01/10,蔡清雲,已立案,02-66090717,0990043617,臺北市新生南路三段20-1號10樓
中華民國兩岸商貿協進會,社會團體,101/01/07,包柏禹,已立案,02-27519309,1010101557,100臺北市中正區忠孝東路1段86號3樓之2
台灣文化傳媒創新發展協會,社會團體,105/01/20,范書銘,已立案,,1050014081,108臺北市萬華區108民和街42號3樓
中國太上全真道教會,社會團體,088/12/19,張金國,已立案,04-25989955,8976029,327桃園市新屋區中華南路一段253號
台灣節能減排協會,社會團體,105/01/30,卓清松,已立案,0936-218587,1050010062,235新北市中和區圓通路293-3號
台灣民生權益福利協會,社會團體,095/12/10,粘珮瑩,已立案,02-29936003,0960030065,242新北市新莊區永樂街36號
中華民國慈惠醫護管理專科學校校友會,社會團體,100/12/03,簡志強,已立案,08-8647367#145、216,1010081789,926屏東縣南州鄉三民路367號
中華民國體育運動舞蹈選手協進會,社會團體,084/09/30,黃友文,已立案,03-3319-292,,330桃園市桃園區大興西路2段69巷96號13樓
中國佛教傳佈協會,社會團體,081/01/05,釋傳煜(龔智仁),已立案,06-656-4445,1030191287,730臺南市新營區台南縣新營市復興路161巷42號
中華民國犯罪防制參議協進會,社會團體,086/05/16,錢漢清,已立案,07-349-6483,8679965,813高雄市左營區重建路六六號十一之二樓
台灣包清府閻羅天子弘道會,社會團體,094/01/23,蔡清海,已立案,02-29007027,0940043026,243新北市泰山區大科路70-5號
中華不動產仲介服務推廣協會,社會團體,101/04/29,陳武治,已立案,02-2287-7863,1010227814,241新北市三重區溪尾街108巷53號4樓
中華民國龍泉廣德會,社會團體,093/02/15,張成發,已立案,03-538-3524,,300新竹市香山區延平路2段1267號
台灣服務禮儀品質管理協會,社會團體,095/12/25,林詠晴,已立案,04-23138016,0960047495,407臺中市西屯區河南路170號5樓之4
台灣雲端人才發展協會,社會團體,103/12/12,張耀方,已立案,02-23696066,1040008038,100臺北市中正區南昌路2段112號6樓之1
中華民國善博聯盟總會,社會團體,077/03/27,黃勒崙,已立案,02-2991-2905,0980112908,242新北市新莊區242中興街3號
台灣美髮美容世界協會,社會團體,095/12/25,孫蕙芬,已立案,02-24278443,0960010551,200基隆市仁愛區孝二路39號7樓718室
中華民國投資人權益維護協會,社會團體,080/04/22,潘勇列,已立案,02-2736-7075,,臺北市基隆路二段一五一之四號九樓
台灣國際嬰幼兒發展協會,社會團體,100/04/27,劉百純,已立案,02-23777575,1000124163,106臺北市大安區辛亥路一段135號8樓之1
中華移居兩岸人仕權益協進會,社會團體,093/08/17,毋詩茜,已立案,02-27836828,0930109634,110臺北市信義區忠孝東路6段77號3樓
中華民國游泳發展協會,社會團體,090/01/14,陳忠良,已立案,04-2627-0833,,436臺中市清水區海濱路257之9號
台灣基督精兵協會,社會團體,089/02/20,蔡佩芳,已立案,02-2837-8232,8972374,111臺北市士林區忠誠路1段43號3樓
中華進步利用協會,社會團體,092/06/02,邱奕儒,已立案,02-2302-1167,,臺北市和平西路3段382巷2弄9號3樓
台灣南島原住民族研究學會,社會團體,096/03/04,王棋,已立案,02-25564998,0960086266,臺北市西園路一段142號2樓之7
中華民國素食發展協會,社會團體,083/12/18,許文龍,解散,02-2389-2688,台(84)內社字第8475777號,臺北市中華路七五巷一弄一號三樓
中華民國孚德生活生命關懷協會,社會團體,096/03/24,張俊祺,已立案,04-22961185,0960065486,406臺中市北屯區松竹路3段481號2樓
中華禪的教育發展協會,社會團體,094/03/27,朱佩玲,解散,02-28080740,0940015668,251新北市淡水區中正東路二段29之3號1樓
台灣國際村外籍婚姻媒合協會(合-移民署廢止許可),社會團體,101/06/02,許榮星,解散,06-2285992,1010217939,700臺南市中西區民生路1段167號5樓之5
中華民國滿和誓願念佛會,社會團體,104/05/16,孫尊烈,已立案,0938-316655,1040045808,813高雄市左營區修明街114號
中華民國排舞協會,社會團體,094/04/17,李奈那,已立案,02-27384211,0940065720,106臺北市大安區樂利路11巷29號5樓
中華玄門總會,社會團體,099/09/12,林秋雄,已立案,04-25389577,0990200674,427臺中市潭子區潭興路一段3-1號
中華民國記帳士交流協會,社會團體,096/01/27,蔡念慈,已立案,02-23826623,0960036257,100臺北市中正區忠孝西路一段100號5樓
臺灣八方畫家協會,社會團體,104/03/15,傅彥熹,已立案,03-4803667,1040028536,325桃園市龍潭區百年三街2巷32號
中華火緣藝文推廣協會,社會團體,102/06/26,陳清隆,解散,02-27415835,1020262012,106臺北市大安區忠孝東路4段218-7號2樓(該會於104.8.22函報內政部異動備查)
中華民國全民安全防護協會,社會團體,082/12/30,王鐘英,解散,02-2933-6052,,231新北市新店區中正路四九三號九樓
台灣青少年發展與輔導協會,社會團體,094/07/10,曾燦燈,已立案,02-23588291,0940027825,100臺北市中正區青島東路1號3202室
台灣複音口琴會,社會團體,093/12/19,許俊哲,已立案,07-6266581,0980051098,820高雄市岡山區通校路302號
台灣家事專業調解教育學會,社會團體,101/12/02,邱美月,已立案,0912-971000,1020068703,臺北市重慶南路1段121號5樓之14
台灣歡呼兒協會,社會團體,091/09/12,張維庭,已立案,02-27012904,0910028522,106臺北市大安區復興南路2段236號12樓
台灣弱勢關懷協會,社會團體,095/01/21,蔡錦隆,已立案,02-2371-2736,0950057590,407臺中市西屯區西屯路3段166號1樓
台灣香氛藝術推廣協會,社會團體,100/12/04,張君怡,已立案,02-26306223,1010070959,114臺北市內湖區五分街72巷1號3樓
中華退伍軍人暨眷屬關懷協會,社會團體,099/03/22,李勝宏(更名),已立案,02-66274656,0990081337,242新北市新莊區建福路72號5樓
台灣精通美語協會,社會團體,093/04/02,陳萬來,已立案,02-66167745,0930019312,115臺北市南港區重陽路194號7樓
中華健全經貿發展促進協會,社會團體,090/07/29,陳以聖,解散,04-2422-2996,,403臺中市西區美村路一段二七二號十二樓之五
台灣基督教好牧人全人關顧協會,社會團體,099/04/05,王世欽,已立案,04-24850890,0990099863,412臺中市大里區中興路二段323號4樓
中華東西文化中心暨夏威夷大學學友會,社會團體,099/04/18,姜蘭虹,已立案,02-33665849,0990112115,106臺北市羅斯福路四段1號國立臺灣大學地理環境資源學系辦公室
中華道脈三元發展會,社會團體,103/12/26,游惠媚,已立案,,1040006194,338桃園市蘆竹區外社里草仔崎3號
中華民國基督教活泉宣教關懷協會,社會團體,095/03/19,林小明,已立案,02-26296813,0950074810,251新北市淡水區大忠街81號2樓
中華閩商經濟促進會,社會團體,103/02/16,謝承海,已立案,02-25671505,1030119225,104臺北市中山區長春路129號5樓之2
中華民國直升機發展協會,社會團體,083/07/16,馮濟民,已立案,02-87726941,8307846,104臺北市中山區朱崙里長安東路2段246號12樓
台灣基督教兒童青少年關懷協會,社會團體,096/01/21,唐崇鏞,已立案,06-2253993,0960037552,702臺南市南區福吉五街6號
中華民國寧瑪巴白玉塔唐佛學會,社會團體,095/06/01,林永福,已立案,07-5589-597,0950112202,813高雄市左營區光興街177巷50號1-2樓
中華教育與人力資源管理網路學會,社會團體,100/07/01,張倉耀,已立案,,1000179581,407臺中市西屯區西安街277巷6-8號11樓之5
中華民國運動潛能開發協會,社會團體,094/11/27,呂光烈,已立案,04-22991110,0950016398,302新竹縣竹北市勝利一路108號2樓
中華雅石會,社會團體,081/06/28,謝祖錫,解散,04-2261-8542,8111843,臺中市高工路219號
中華奉元學會,社會團體,100/10/02,劉君祖,已立案,02-23631783,1000220883,106臺北市大安區羅斯福路3段269巷51弄7號地下室
台灣自然科學實驗教育學會,社會團體,099/05/16,黃得恩,已立案,02-28951895,0990185542,112臺北市北投區光明路170號2樓
中華愛民愛鄉發展協會,社會團體,100/10/30,駱文貴,已立案,03-3330060,1000234117,330桃園市桃園區鎮南街58-3號
中華海峽兩岸事務交流協會,社會團體,104/02/14,朱邦文,已立案,02-66083107,1040032857,106臺北市大安區信義路四段30巷35-1號
中華民國珍珠社會服務協會.,社會團體,096/12/29,張曉儀,已立案,02-87873311,0970068631,臺北市永吉路201號B1
中華金門旅台翁氏宗親會,社會團體,100/09/18,翁瑞美,已立案,02-22254653,1000201382,234新北市永和區秀朗路2段24巷25弄12號
中華民國法雨普濟協會,社會團體,089/04/02,陳楊靜江,已立案,02-25613858,8973099,231新北市新店區松林路1號
中華民國劍道協會,社會團體,062/03/22,吳相羅,已立案,02-28918640,,112臺北市北投區112溫泉路108號
台灣聖脈生命教育協會,社會團體,092/12/27,王珮君,已立案,02-2394-2280,0930004465,234新北市永和區中和路305巷16弄4號3樓
台灣包裝協會,社會團體,054/11/01,詹榕煌,已立案,02-2725-2585,1040044813,110臺北市信義區信義路五段五號5C12室
中華民國私立中國科技大學校友會,社會團體,085/11/02,許嘉旭,已立案,02-2931-3416#2611,0940071388,116臺北市文山區興隆路3段56號
中華自然醫學教育學會,社會團體,093/04/18,楊浩,已立案,02-2214-0150,0930020502,231新北市新店區安康路3段718號4樓
中華民國中醫藥學會,社會團體,042/05/24,邱戊己,已立案,02-29213290,8582316補發,234新北市永和區永和路2段249號
臺灣現代藝術家協會,社會團體,103/06/29,許忠文,已立案,02-29553115,1030210769,220新北市板橋區廣和街33-12號5樓
無極混元龍華聖音誦經會,社會團體,097/03/16,謝昌財,已立案,06-2369576,0970072671,744臺南市新市區永就里1鄰永就6-23號
中華民國頌缽協會,社會團體,103/06/14,陳兆民,已立案,02-27828357,1030214105,115臺北市南港區興華路30巷11號2樓
中華兩岸牽手婚姻媒合輔導協會(合),社會團體,102/07/28,詹欽印,已立案,0955-955533,1020275985,406臺中市北屯區太原路3段410號3樓(該會於106.6.19函報內政部異動備查)
中華民國屏東英語演講勵進會,社會團體,099/07/08,沈麗滿,已立案,,0990224576,900屏東縣屏東市民學路120巷24之3號
中華民國青少年法律教育研究推廣協會,社會團體,084/01/15,郭昭文,已立案,07-223-0234,8405966,946屏東縣恆春鎮鵝鑾里風沙路701號
中華笑傲學林親職輔導學會,社會團體,094/03/03,周稚芬,已立案,07-2881660,0940011135,800高雄市新興區800中山一路263號12樓之5
中華民國美式撞球協會,社會團體,079/12/29,蔡超,已立案,02-2325-6373,886907,臺北市信義路三段二七號六樓
美國教育基金會駐華辦事處,社會團體,084/04/29,葛賢鍵,已立案,02-27058840,8815446登記駐華辦事處,106臺北市大安區復興南路一段237號9樓之1
索羅門群島慈善協會,社會團體,100/11/04,陳詠霖,已立案,07-3224086,1000234011,806高雄市前鎮區中山二路91號14樓之7號
中國崇教會,社會團體,080/03/14,莊清風,已立案,02-2861-1219,,111臺北市士林區陽明山新國街三八號
中華兩岸房地產市場發展協會,社會團體,099/09/15,高明,已立案,02-26617809,0990193748,233新北市烏來區233信賢里信福路120巷18-2號
中華聖佛大道濟世功德會,社會團體,102/10/20,尤榮貴,已立案,02-29328495,1020384031,116臺北市文山區景福街177號2樓
